company_id,company_name,financial_year,cfo,cfi,cff,cfo_sign,cfi_sign,cff_sign,pattern_label,cfo_quality,free_cash_flow,capex_intensity
118632,Fund 118632,201301,292.36,-1461.79,-730.9,+,-,-,Shareholder Returns,High Quality,-1169.43,10.0
118632,Fund 118632,201302,274.35,-1371.74,-685.87,+,-,-,Shareholder Returns,High Quality,-1097.39,10.0
118632,Fund 118632,201303,271.56,-1357.8,-678.9,+,-,-,Shareholder Returns,High Quality,-1086.24,10.0
118632,Fund 118632,201304,282.17,-1410.86,-705.43,+,-,-,Shareholder Returns,High Quality,-1128.69,10.0
118632,Fund 118632,201305,278.33,-1391.64,-695.82,+,-,-,Shareholder Returns,High Quality,-1113.31,10.0
118632,Fund 118632,201306,268.9,-1344.5,-672.25,+,-,-,Shareholder Returns,High Quality,-1075.6,10.0
118632,Fund 118632,201307,258.03,-1290.14,-645.07,+,-,-,Shareholder Returns,High Quality,-1032.11,10.0
118632,Fund 118632,201308,252.43,-1262.14,-631.07,+,-,-,Shareholder Returns,High Quality,-1009.71,10.0
118632,Fund 118632,201309,262.57,-1312.86,-656.43,+,-,-,Shareholder Returns,High Quality,-1050.29,10.0
118632,Fund 118632,201310,286.83,-1434.13,-717.07,+,-,-,Shareholder Returns,High Quality,-1147.3,10.0
118632,Fund 118632,201311,286.55,-1432.77,-716.39,+,-,-,Shareholder Returns,High Quality,-1146.22,10.0
118632,Fund 118632,201312,303.27,-1516.34,-758.17,+,-,-,Shareholder Returns,High Quality,-1213.07,10.0
118632,Fund 118632,201401,292.64,-1463.18,-731.59,+,-,-,Shareholder Returns,High Quality,-1170.54,10.0
118632,Fund 118632,201402,304.73,-1523.67,-761.84,+,-,-,Shareholder Returns,High Quality,-1218.94,10.0
118632,Fund 118632,201403,328.67,-1643.37,-821.69,+,-,-,Shareholder Returns,High Quality,-1314.7,10.0
118632,Fund 118632,201404,328.99,-1644.93,-822.47,+,-,-,Shareholder Returns,High Quality,-1315.94,10.0
118632,Fund 118632,201405,369.4,-1846.98,-923.49,+,-,-,Shareholder Returns,High Quality,-1477.58,10.0
118632,Fund 118632,201406,402.25,-2011.24,-1005.62,+,-,-,Shareholder Returns,High Quality,-1608.99,10.0
118632,Fund 118632,201407,398.48,-1992.39,-996.2,+,-,-,Shareholder Returns,High Quality,-1593.91,10.0
118632,Fund 118632,201408,417.27,-2086.33,-1043.16,+,-,-,Shareholder Returns,High Quality,-1669.06,10.0
118632,Fund 118632,201409,427.85,-2139.25,-1069.62,+,-,-,Shareholder Returns,High Quality,-1711.4,10.0
118632,Fund 118632,201410,455.16,-2275.78,-1137.89,+,-,-,Shareholder Returns,High Quality,-1820.62,10.0
118632,Fund 118632,201411,479.83,-2399.15,-1199.58,+,-,-,Shareholder Returns,High Quality,-1919.32,10.0
118632,Fund 118632,201412,472.19,-2360.95,-1180.48,+,-,-,Shareholder Returns,High Quality,-1888.76,10.0
118632,Fund 118632,201501,501.25,-2506.24,-1253.12,+,-,-,Shareholder Returns,High Quality,-2004.99,10.0
118632,Fund 118632,201502,503.84,-2519.22,-1259.61,+,-,-,Shareholder Returns,High Quality,-2015.38,10.0
118632,Fund 118632,201503,496.35,-2481.73,-1240.87,+,-,-,Shareholder Returns,High Quality,-1985.38,10.0
118632,Fund 118632,201504,477.74,-2388.71,-1194.36,+,-,-,Shareholder Returns,High Quality,-1910.97,10.0
118632,Fund 118632,201505,491.97,-2459.83,-1229.91,+,-,-,Shareholder Returns,High Quality,-1967.86,10.0
118632,Fund 118632,201506,486.34,-2431.72,-1215.86,+,-,-,Shareholder Returns,High Quality,-1945.38,10.0
118632,Fund 118632,201507,507.16,-2535.81,-1267.9,+,-,-,Shareholder Returns,High Quality,-2028.65,10.0
118632,Fund 118632,201508,481.56,-2407.81,-1203.9,+,-,-,Shareholder Returns,High Quality,-1926.25,10.0
118632,Fund 118632,201509,470.74,-2353.71,-1176.86,+,-,-,Shareholder Returns,High Quality,-1882.97,10.0
118632,Fund 118632,201510,479.18,-2395.88,-1197.94,+,-,-,Shareholder Returns,High Quality,-1916.7,10.0
