Investor_ID,Age,Age_Group,Gender,State,City_Tier,Monthly_SIP,Occupation,Income_Range
1,66,60+,Female,West Bengal,Tier 1,572.33,Retired,Below 5L
2,35,30-44,Female,Tamil Nadu,Tier 1,5111.74,Salaried,5L-10L
3,73,60+,Female,Maharashtra,Tier 2,4968.48,Business,5L-10L
4,38,30-44,Female,West Bengal,Tier 3,25019.03,Professional,Above 20L
5,20,18-29,Female,Karnataka,Tier 2,5505.75,Professional,5L-10L
6,58,45-59,Female,Uttar Pradesh,Tier 2,5757.35,Salaried,5L-10L
7,45,45-59,Male,West Bengal,Tier 1,2896.68,Business,5L-10L
8,45,45-59,Male,Tamil Nadu,Tier 3,3969.54,Professional,5L-10L
9,49,45-59,Male,Delhi,Tier 1,3014.89,Salaried,5L-10L
10,56,45-59,Male,Karnataka,Tier 1,12621.38,Salaried,10L-20L
11,41,30-44,Female,Delhi,Tier 3,1633.65,Student,Below 5L
12,71,60+,Male,Tamil Nadu,Tier 2,1314.95,Salaried,Below 5L
13,24,18-29,Female,Tamil Nadu,Tier 3,29403.97,Professional,Above 20L
14,36,30-44,Female,Delhi,Tier 2,13855.61,Business,10L-20L
15,18,18-29,Male,Maharashtra,Tier 1,4995.26,Salaried,5L-10L
16,50,45-59,Male,Gujarat,Tier 3,7909.46,Professional,5L-10L
17,50,45-59,Female,Gujarat,Tier 2,1088.21,Student,Below 5L
18,28,18-29,Male,Uttar Pradesh,Tier 1,7812.65,Business,5L-10L
19,40,30-44,Female,Tamil Nadu,Tier 2,3626.24,Retired,5L-10L
20,67,60+,Male,Karnataka,Tier 1,9272.93,Retired,5L-10L
21,62,60+,Female,West Bengal,Tier 3,4124.09,Salaried,5L-10L
22,45,45-59,Male,West Bengal,Tier 1,6986.88,Retired,5L-10L
23,71,60+,Male,Delhi,Tier 3,2573.01,Business,5L-10L
24,64,60+,Male,Karnataka,Tier 1,7079.64,Business,5L-10L
25,34,30-44,Female,Delhi,Tier 3,2086.47,Professional,5L-10L
26,27,18-29,Male,Karnataka,Tier 2,15936.0,Retired,10L-20L
27,25,18-29,Male,Uttar Pradesh,Tier 3,6049.67,Retired,5L-10L
28,70,60+,Male,West Bengal,Tier 2,3754.91,Professional,5L-10L
29,26,18-29,Female,Delhi,Tier 2,5156.9,Retired,5L-10L
30,36,30-44,Other,Tamil Nadu,Tier 1,5291.29,Retired,5L-10L
